transaction_id,date,city,store_id,category,subcategory,customer_id,unit_price,quantity,discount_rate,payment_method,is_return,gross_sales,net_sales,revenue,weekday,month,year,is_weekend
1,2023-04-13,Seattle,S004,Electronics,Headphones,C1250,413.37,2,0.1,Debit Card,0,826.74,744.066,744.066,Thursday,2023-04-01,2023,0
2,2024-03-11,Phoenix,S003,Clothing,Women,C1032,38.84,2,0.2,Credit Card,0,77.68,62.144,62.144,Monday,2024-03-01,2024,0
3,2023-09-28,New York,S018,Home,Decor,C1665,115.46,3,0.0,Credit Card,0,346.38,346.38,346.38,Thursday,2023-09-01,2023,0
4,2023-04-17,Los Angeles,S001,Beauty,Skincare,C1714,26.06,1,0.0,Credit Card,0,26.06,26.06,26.06,Monday,2023-04-01,2023,0
5,2023-03-13,Miami,S011,Electronics,Phone,C1389,529.82,1,0.05,Cash,0,529.82,503.329,503.329,Monday,2023-03-01,2023,0
6,2023-01-21,Miami,S002,Books,Non-fiction,C1549,15.03,3,0.11,Wallet,0,45.09,40.1301,40.1301,Saturday,2023-01-01,2023,1
7,2024-09-06,Los Angeles,S020,Beauty,Haircare,C1591,26.56,1,0.11,Credit Card,0,26.56,23.6384,23.6384,Friday,2024-09-01,2024,0
8,2023-05-02,Miami,S010,Electronics,Laptop,C1887,459.85,1,0.12,Credit Card,0,459.85,404.668,404.668,Tuesday,2023-05-01,2023,0
9,2024-04-11,Los Angeles,S006,Grocery,Produce,C1214,7.19,1,0.0,Debit Card,0,7.19,7.19,7.19,Thursday,2024-04-01,2024,0
10,2023-08-03,New York,S020,Books,Fiction,C1546,14.76,1,0.0,Credit Card,0,14.76,14.76,14.76,Thursday,2023-08-01,2023,0
11,2023-11-27,Seattle,S018,Home,Decor,C1332,136.57,1,0.0,Cash,0,136.57,136.57,136.57,Monday,2023-11-01,2023,0
12,2024-04-03,New York,S011,Toys,Puzzles,C1067,12.21,2,0.02,Wallet,0,24.42,23.9316,23.9316,Wednesday,2024-04-01,2024,0
13,2023-03-29,Los Angeles,S007,Books,Non-fiction,C1405,12.75,1,0.0,Debit Card,0,12.75,12.75,12.75,Wednesday,2023-03-01,2023,0
14,2024-01-08,Chicago,S008,Books,Comics,C1551,17.04,3,0.01,Debit Card,0,51.12,50.6088,50.6088,Monday,2024-01-01,2024,0
15,2023-04-10,Houston,S012,Home,Furniture,C1521,148.66,2,0.0,Cash,0,297.32,297.32,297.32,Monday,2023-04-01,2023,0
16,2023-05-11,Chicago,S006,Beauty,Makeup,C1432,17.68,5,0.0,Credit Card,0,88.4,88.4,88.4,Thursday,2023-05-01,2023,0
17,2023-11-05,Houston,S017,Grocery,Dairy,C1696,7.04,2,0.0,Debit Card,0,14.08,14.08,14.08,Sunday,2023-11-01,2023,1
18,2023-12-10,Los Angeles,S011,Electronics,Headphones,C1445,470.57,3,0.1,Credit Card,0,1411.71,1270.539,1270.539,Sunday,2023-12-01,2023,1
19,2024-05-06,Seattle,S009,Clothing,Men,C1519,24.48,3,0.0,Cash,0,73.44,73.44,73.44,Monday,2024-05-01,2024,0
20,2024-02-18,Seattle,S017,Clothing,Men,C1156,48.97,5,0.23,Credit Card,0,244.85,188.5345,188.5345,Sunday,2024-02-01,2024,1
21,2024-01-21,Phoenix,S001,Clothing,Women,C1500,36.61,4,0.09,Wallet,0,146.44,133.2604,133.2604,Sunday,2024-01-01,2024,1
22,2023-07-11,Miami,S010,Home,Furniture,C1246,88.82,6,0.0,Wallet,0,532.92,532.92,532.92,Tuesday,2023-07-01,2023,0
23,2023-10-04,Houston,S003,Beauty,Makeup,C1784,16.62,1,0.1,Debit Card,0,16.62,14.958,14.958,Wednesday,2023-10-01,2023,0
24,2023-06-10,Chicago,S009,Clothing,Kids,C1433,40.94,1,0.0,Wallet,0,40.94,40.94,40.94,Saturday,2023-06-01,2023,1
25,2024-04-04,Seattle,S007,Books,Non-fiction,C1408,10.45,4,0.0,Debit Card,0,41.8,41.8,41.8,Thursday,2024-04-01,2024,0
26,2023-11-10,Phoenix,S015,Electronics,Laptop,C1230,417.87,1,0.06,Credit Card,0,417.87,392.7978,392.7978,Friday,2023-11-01,2023,0
27,2023-01-22,Phoenix,S008,Electronics,Phone,C1724,474.21,2,0.0,Credit Card,0,948.42,948.42,948.42,Sunday,2023-01-01,2023,1
28,2023-09-10,Miami,S011,Electronics,Laptop,C1285,406.9,1,0.0,Credit Card,0,406.9,406.9,406.9,Sunday,2023-09-01,2023,1
29,2024-07-14,Phoenix,S019,Toys,Board Games,C1803,20.69,3,0.0,Credit Card,0,62.07,62.07,62.07,Sunday,2024-07-01,2024,1
30,2024-04-19,Seattle,S014,Grocery,Beverages,C1420,9.78,2,0.0,Debit Card,0,19.56,19.56,19.56,Friday,2024-04-01,2024,0
31,2023-02-28,Seattle,S004,Electronics,TV,C1745,624.12,1,0.0,Cash,0,624.12,624.12,624.12,Tuesday,2023-02-01,2023,0
32,2024-05-25,Chicago,S018,Toys,Board Games,C1432,27.04,1,0.0,Credit Card,0,27.04,27.04,27.04,Saturday,2024-05-01,2024,1
33,2024-04-20,New York,S015,Beauty,Makeup,C1100,26.9,2,0.03,Wallet,0,53.8,52.186,52.186,Saturday,2024-04-01,2024,1
34,2023-07-09,New York,S008,Home,Kitchen,C1497,142.37,2,0.0,Cash,0,284.74,284.74,284.74,Sunday,2023-07-01,2023,1
35,2024-07-16,Chicago,S013,Electronics,TV,C1271,435.97,3,0.0,Cash,0,1307.91,1307.91,1307.91,Tuesday,2024-07-01,2024,0
36,2024-07-20,Seattle,S018,Books,Comics,C1498,13.36,1,0.05,Credit Card,0,13.36,12.692,12.692,Saturday,2024-07-01,2024,1
37,2023-09-01,Phoenix,S018,Electronics,Headphones,C1058,473.43,1,0.04,Credit Card,0,473.43,454.4928,454.4928,Friday,2023-09-01,2023,0
38,2024-05-19,Phoenix,S006,Electronics,Phone,C1871,299.84,1,0.0,Debit Card,0,299.84,299.84,299.84,Sunday,2024-05-01,2024,1
39,2023-05-11,Chicago,S013,Electronics,Laptop,C1592,456.97,1,0.0,Debit Card,0,456.97,456.97,456.97,Thursday,2023-05-01,2023,0
40,2024-04-29,Phoenix,S019,Clothing,Women,C1267,45.6,2,0.04,Debit Card,0,91.2,87.552,87.552,Monday,2024-04-01,2024,0
41,2023-01-21,Houston,S005,Books,Comics,C1307,10.51,1,0.0,Wallet,0,10.51,10.51,10.51,Saturday,2023-01-01,2023,1
42,2023-06-16,New York,S015,Clothing,Kids,C1102,30.45,1,0.08,Credit Card,0,30.45,28.014,28.014,Friday,2023-06-01,2023,0
43,2023-10-01,Los Angeles,S003,Home,Kitchen,C1291,121.66,1,0.04,Cash,0,121.66,116.7936,116.7936,Sunday,2023-10-01,2023,1
44,2024-01-23,Phoenix,S017,Electronics,Headphones,C1679,425.55,2,0.13,Cash,0,851.1,740.457,740.457,Tuesday,2024-01-01,2024,0
45,2024-08-23,New York,S018,Home,Kitchen,C1288,144.33,2,0.0,Debit Card,0,288.66,288.66,288.66,Friday,2024-08-01,2024,0
46,2023-11-12,Seattle,S009,Clothing,Women,C1257,42.12,1,0.0,Cash,0,42.12,42.12,42.12,Sunday,2023-11-01,2023,1
47,2023-01-14,Houston,S009,Electronics,Phone,C1341,474.43,1,0.0,Debit Card,0,474.43,474.43,474.43,Saturday,2023-01-01,2023,1
48,2023-08-30,Seattle,S015,Clothing,Kids,C1437,33.5,3,0.0,Credit Card,0,100.5,100.5,100.5,Wednesday,2023-08-01,2023,0
49,2023-12-12,Seattle,S005,Clothing,Men,C1854,36.94,1,0.0,Debit Card,0,36.94,36.94,36.94,Tuesday,2023-12-01,2023,0
