transaction_id,date,city,store_id,category,subcategory,customer_id,unit_price,quantity,discount_rate,payment_method,is_return,gross_sales,net_sales
1,2023-04-13,Seattle,S004,Electronics,Headphones,C1250,413.37,2,0.1,Debit Card,0,826.74,744.066
2,2024-03-11,Phoenix,S003,Clothing,Women,C1032,38.84,2,0.2,Credit Card,0,77.68,62.144000000000005
3,2023-09-28,New York,S018,Home,Decor,C1665,115.46,3,0.0,Credit Card,0,346.38,346.38
4,2023-04-17,Los Angeles,S001,Beauty,Skincare,C1714,26.06,1,0.0,Credit Card,0,26.06,26.06
5,2023-03-13,Miami,S011,Electronics,Phone,C1389,529.82,1,0.05,Cash,0,529.82,503.329
6,2023-01-21,Miami,S002,Books,Non-fiction,C1549,15.03,3,0.11,Wallet,0,45.089999999999996,40.1301
7,2024-09-06,Los Angeles,S020,Beauty,Haircare,C1591,26.56,1,0.11,Credit Card,0,26.56,23.6384
8,2023-05-02,Miami,S010,Electronics,Laptop,C1887,459.85,1,0.12,Credit Card,0,459.85,404.668
9,2024-04-11,Los Angeles,S006,Grocery,Produce,C1214,7.19,1,0.0,Debit Card,0,7.19,7.19
10,2023-08-03,New York,S020,Books,Fiction,C1546,14.76,1,0.0,Credit Card,0,14.76,14.76
11,2023-11-27,Seattle,S018,Home,Decor,C1332,136.57,1,0.0,Cash,0,136.57,136.57
12,2024-04-03,New York,S011,Toys,Puzzles,C1067,12.21,2,0.02,Wallet,0,24.42,23.9316
13,2023-03-29,Los Angeles,S007,Books,Non-fiction,C1405,12.75,1,0.0,Debit Card,0,12.75,12.75
14,2024-01-08,Chicago,S008,Books,Comics,C1551,17.04,3,0.01,Debit Card,0,51.12,50.608799999999995
15,2023-04-10,Houston,S012,Home,Furniture,C1521,148.66,2,0.0,Cash,0,297.32,297.32
16,2023-05-11,Chicago,S006,Beauty,Makeup,C1432,17.68,5,0.0,Credit Card,0,88.4,88.4
17,2023-11-05,Houston,S017,Grocery,Dairy,C1696,7.04,2,0.0,Debit Card,0,14.08,14.08
